event,date,1Ball,2Ball,3Ball,Fireball
"Evening","11/20/2020","6","6","1","9"
"Evening","11/19/2020","5","5","0","8"
"Evening","11/18/2020","0","6","4","5"
"Evening","11/17/2020","6","4","4","4"
"Evening","11/16/2020","3","4","3","7"
"Evening","11/15/2020","1","5","4","7"
"Evening","11/14/2020","0","0","4","7"
"Evening","11/13/2020","7","6","7","5"
"Evening","11/12/2020","4","5","1","8"
"Evening","11/11/2020","6","2","2","2"
"Evening","11/10/2020","3","0","4","3"
"Evening","11/09/2020","5","5","8","4"
"Evening","11/08/2020","0","4","9","8"
"Evening","11/07/2020","8","9","9","2"
"Evening","11/06/2020","7","4","1","5"
"Evening","11/05/2020","7","8","1","1"
"Evening","11/04/2020","9","3","0","2"
"Evening","11/03/2020","7","6","1","0"
"Evening","11/02/2020","3","6","6","9"
"Evening","11/01/2020","4","9","9","4"
"Evening","10/31/2020","5","9","0","7"
"Evening","10/30/2020","7","3","0","7"
"Evening","10/29/2020","7","2","2","9"
"Evening","10/28/2020","0","2","4","5"
"Evening","10/27/2020","6","7","9","7"
"Evening","10/26/2020","0","2","1","7"
"Evening","10/25/2020","9","1","4","4"
"Evening","10/24/2020","1","2","0","0"
"Evening","10/23/2020","0","7","5","9"
"Evening","10/22/2020","0","7","0","3"
"Evening","10/21/2020","8","6","4","4"
"Evening","10/20/2020","3","7","5","7"
"Evening","10/19/2020","9","4","3","0"
"Evening","10/18/2020","7","7","8","2"
"Evening","10/17/2020","4","8","4","4"
"Evening","10/16/2020","4","7","1","0"
"Evening","10/15/2020","1","3","0","0"
"Evening","10/14/2020","3","4","8","8"
"Evening","10/13/2020","4","7","3","2"
"Evening","10/12/2020","2","2","2","5"
"Evening","10/11/2020","1","2","7","9"
"Evening","10/10/2020","5","4","9","2"
"Evening","10/09/2020","1","7","3","2"
"Evening","10/08/2020","0","7","5","0"
"Evening","10/07/2020","2","5","7","4"
"Evening","10/06/2020","1","0","5","8"
"Evening","10/05/2020","7","4","4","8"
"Evening","10/04/2020","6","2","1","1"
"Evening","10/03/2020","3","1","4","1"
"Evening","10/02/2020","2","1","1","1"
"Evening","10/01/2020","3","2","0","7"
"Evening","09/30/2020","4","9","9","4"
"Evening","09/29/2020","7","1","9","1"
"Evening","09/28/2020","6","5","3","6"
"Evening","09/27/2020","1","7","8","1"
"Evening","09/26/2020","2","8","7","4"
"Evening","09/25/2020","0","7","6","4"
"Evening","09/24/2020","4","1","1","4"
"Evening","09/23/2020","5","9","1","4"
"Evening","09/22/2020","6","0","8","6"
"Evening","09/21/2020","9","2","0","9"
"Evening","09/20/2020","4","2","8","1"
"Evening","09/19/2020","9","0","9","9"
"Evening","09/18/2020","3","4","0","9"
"Evening","09/17/2020","2","0","4","5"
"Evening","09/16/2020","5","1","5","5"
"Evening","09/15/2020","1","3","1","3"
"Evening","09/14/2020","2","4","8","0"
"Evening","09/13/2020","4","3","7","2"
"Evening","09/12/2020","2","8","3","8"
"Evening","09/11/2020","7","1","9","8"
"Evening","09/10/2020","0","6","4","5"
"Evening","09/09/2020","3","3","4","9"
"Evening","09/08/2020","2","4","4","9"
"Evening","09/07/2020","3","7","9","2"
"Evening","09/06/2020","2","4","2","2"
"Evening","09/05/2020","6","7","6","7"
"Evening","09/04/2020","4","7","3","5"
"Evening","09/03/2020","3","4","3","6"
"Evening","09/02/2020","4","0","0","1"
"Evening","09/01/2020","7","2","3","9"
"Evening","08/31/2020","6","2","0","8"
"Evening","08/30/2020","7","5","7","9"
"Evening","08/29/2020","2","1","1","6"
"Evening","08/28/2020","0","8","6","8"
"Evening","08/27/2020","0","6","9","5"
"Evening","08/26/2020","5","6","8","7"
"Evening","08/25/2020","9","0","8","1"
"Evening","08/24/2020","3","4","3","9"
"Evening","08/23/2020","5","3","6","9"
"Evening","08/22/2020","0","5","7","5"
"Evening","08/21/2020","3","2","2","2"
"Evening","08/20/2020","2","5","8","2"
"Evening","08/19/2020","0","6","1","2"
"Evening","08/18/2020","4","3","1","6"
"Evening","08/17/2020","9","5","2","0"
"Evening","08/16/2020","9","5","2","7"
"Evening","08/15/2020","3","6","9","1"
"Evening","08/14/2020","4","1","1","4"
"Evening","08/13/2020","9","0","7","6"
"Evening","08/12/2020","1","9","0","6"
"Evening","08/11/2020","0","1","2","3"
"Evening","08/10/2020","3","4","6","9"
"Evening","08/09/2020","4","9","7","9"
"Evening","08/08/2020","0","4","1","4"
"Evening","08/07/2020","5","4","1","8"
"Evening","08/06/2020","6","9","8","7"
"Evening","08/05/2020","7","2","1","5"
"Evening","08/04/2020","4","0","8","5"
"Evening","08/03/2020","5","1","1","4"
"Evening","08/02/2020","5","8","4","2"
"Evening","08/01/2020","3","1","4","0"
"Evening","07/31/2020","3","6","8","2"
"Evening","07/30/2020","4","4","1","0"
"Evening","07/29/2020","6","7","4","0"
"Evening","07/28/2020","3","0","6","9"
"Evening","07/27/2020","0","1","3","6"
"Evening","07/26/2020","1","7","7","7"
"Evening","07/25/2020","9","1","3","3"
"Evening","07/24/2020","7","9","7","1"
"Evening","07/23/2020","1","5","4","2"
"Evening","07/22/2020","4","3","9","0"
"Evening","07/21/2020","9","9","0","9"
"Evening","07/20/2020","0","7","8","4"
"Evening","07/19/2020","3","1","0","0"
"Evening","07/18/2020","6","3","7","7"
"Evening","07/17/2020","2","6","5","2"
"Evening","07/16/2020","1","9","1","0"
"Evening","07/15/2020","0","1","9","1"
"Evening","07/14/2020","1","0","7","6"
"Evening","07/13/2020","7","9","3","0"
"Evening","07/12/2020","4","2","2","6"
"Evening","07/11/2020","8","6","8","4"
"Evening","07/10/2020","6","7","5","0"
"Evening","07/09/2020","5","9","3","3"
"Evening","07/08/2020","5","1","1","4"
"Evening","07/07/2020","3","1","1","2"
"Evening","07/06/2020","9","5","5","4"
"Evening","07/05/2020","5","7","1","2"
"Evening","07/04/2020","3","4","9","9"
"Evening","07/03/2020","0","5","4","5"
"Evening","07/02/2020","2","7","0","0"
"Evening","07/01/2020","4","9","2","7"
"Evening","06/30/2020","1","4","0","3"
"Evening","06/29/2020","1","0","1","5"
"Evening","06/28/2020","5","6","1","8"
"Evening","06/27/2020","8","1","4","2"
"Evening","06/26/2020","2","7","0","5"
"Evening","06/25/2020","0","8","4","4"
"Evening","06/24/2020","0","9","2","4"
"Evening","06/23/2020","5","0","2","4"
"Evening","06/22/2020","5","9","1","7"
"Evening","06/21/2020","6","2","8","7"
"Evening","06/20/2020","5","5","3","5"
"Evening","06/19/2020","4","1","8","0"
"Evening","06/18/2020","6","2","9","4"
"Evening","06/17/2020","4","1","8","6"
"Evening","06/16/2020","1","4","6","7"
"Evening","06/15/2020","1","0","3","4"
"Evening","06/14/2020","0","6","3","8"
"Evening","06/13/2020","3","5","4","1"
"Evening","06/12/2020","5","2","3","1"
"Evening","06/11/2020","1","6","2","8"
"Evening","06/10/2020","3","4","8","1"
"Evening","06/09/2020","0","4","6","2"
"Evening","06/08/2020","3","8","0","0"
"Evening","06/07/2020","2","2","0","6"
"Evening","06/06/2020","5","2","5","2"
"Evening","06/05/2020","6","7","8","8"
"Evening","06/04/2020","8","2","4","1"
"Evening","06/03/2020","6","9","7","6"
"Evening","06/02/2020","5","2","2","3"
"Evening","06/01/2020","5","6","6","3"
"Evening","05/31/2020","7","5","7","4"
"Evening","05/30/2020","2","1","4","7"
"Evening","05/29/2020","3","7","4","8"
"Evening","05/28/2020","4","1","0","9"
"Evening","05/27/2020","7","4","5","7"
"Evening","05/26/2020","1","1","6","8"
"Evening","05/25/2020","9","8","7","5"
"Evening","05/24/2020","4","1","7","8"
"Evening","05/23/2020","0","3","1","6"
"Evening","05/22/2020","2","9","6","1"
"Evening","05/21/2020","2","9","6","1"
"Evening","05/20/2020","3","2","0","6"
"Evening","05/19/2020","2","2","4","3"
"Evening","05/18/2020","7","4","6","6"
"Evening","05/17/2020","2","7","0","2"
"Evening","05/16/2020","5","3","5","9"
"Evening","05/15/2020","2","6","3","5"
"Evening","05/14/2020","3","3","6","3"
"Evening","05/13/2020","0","9","0","7"
"Evening","05/12/2020","2","1","1","4"
"Evening","05/11/2020","9","1","3","6"
"Evening","05/10/2020","3","3","5","3"
"Evening","05/09/2020","6","9","6","6"
"Evening","05/08/2020","0","2","9","5"
"Evening","05/07/2020","8","2","6","6"
"Evening","05/06/2020","6","9","7","5"
"Evening","05/05/2020","9","1","7","5"
"Evening","05/04/2020","9","2","5","3"
"Evening","05/03/2020","3","7","2","8"
"Evening","05/02/2020","3","8","1","3"
"Evening","05/01/2020","1","9","2","5"
"Evening","04/30/2020","0","6","1","2"
"Evening","04/29/2020","5","6","2","1"
"Evening","04/28/2020","7","3","4","4"
"Evening","04/27/2020","9","4","4","3"
"Evening","04/26/2020","2","7","7","2"
"Evening","04/25/2020","9","2","3","6"
"Evening","04/24/2020","2","7","6","1"
"Evening","04/23/2020","3","7","9","5"
"Evening","04/22/2020","4","3","8","2"
"Evening","04/21/2020","5","7","7","0"
"Evening","04/20/2020","7","3","1","8"
"Evening","04/19/2020","8","5","3","7"
"Evening","04/18/2020","3","6","8","7"
"Evening","04/17/2020","5","8","5","7"
"Evening","04/16/2020","6","1","7","9"
"Evening","04/15/2020","5","7","1","3"
"Evening","04/14/2020","0","0","8","4"
"Evening","04/13/2020","5","3","9","4"
"Evening","04/12/2020","1","8","8","9"
"Evening","04/11/2020","6","3","7","9"
"Evening","04/10/2020","2","1","9","5"
"Evening","04/09/2020","8","9","9","0"
"Evening","04/08/2020","5","6","3","2"
"Evening","04/07/2020","9","3","0","9"
"Evening","04/06/2020","2","5","9","6"
"Evening","04/05/2020","9","1","7","9"
"Evening","04/04/2020","8","1","8","6"
"Evening","04/03/2020","6","6","7","2"
"Evening","04/02/2020","4","2","1","3"
"Evening","04/01/2020","4","7","5","3"
"Evening","03/31/2020","1","4","8","7"
"Evening","03/30/2020","9","0","6","1"
"Evening","03/29/2020","7","4","2","3"
"Evening","03/28/2020","0","2","4","8"
"Evening","03/27/2020","2","7","2","8"
"Evening","03/26/2020","7","8","4","0"
"Evening","03/25/2020","5","0","3","3"
"Evening","03/24/2020","9","5","6","7"
"Evening","03/23/2020","0","1","3","7"
"Evening","03/22/2020","8","9","2","6"
"Evening","03/21/2020","6","6","0","6"
"Evening","03/20/2020","7","4","8","5"
"Evening","03/19/2020","6","7","0","7"
"Evening","03/18/2020","7","5","4","5"
"Evening","03/17/2020","3","4","0","4"
"Evening","03/16/2020","3","2","2","2"
"Evening","03/15/2020","6","0","3","4"
"Evening","03/14/2020","4","1","8","5"
"Evening","03/13/2020","0","1","7","8"
"Evening","03/12/2020","5","9","7","9"
"Evening","03/11/2020","3","6","0","1"
"Evening","03/10/2020","4","7","5","0"
"Evening","03/09/2020","6","1","9","8"
"Evening","03/08/2020","8","2","9","3"
"Evening","03/07/2020","3","0","4","4"
"Evening","03/06/2020","4","6","8","2"
"Evening","03/05/2020","2","0","2","4"
"Evening","03/04/2020","7","3","3","7"
"Evening","03/03/2020","0","5","6","2"
"Evening","03/02/2020","1","0","6","4"
"Evening","03/01/2020","3","3","7","8"
"Evening","02/29/2020","3","4","2","2"
"Evening","02/28/2020","7","7","5","7"
"Evening","02/27/2020","6","9","4","9"
"Evening","02/26/2020","6","4","7","2"
"Evening","02/25/2020","5","1","1","3"
"Evening","02/24/2020","5","0","0","4"
"Evening","02/23/2020","2","1","7","3"
"Evening","02/22/2020","8","3","0","2"
"Evening","02/21/2020","0","8","0","4"
"Evening","02/20/2020","6","1","3","8"
"Evening","02/19/2020","4","3","6","5"
"Evening","02/18/2020","7","6","0","7"
"Evening","02/17/2020","6","1","4","7"
"Evening","02/16/2020","0","5","9","1"
"Evening","02/15/2020","8","9","1","2"
"Evening","02/14/2020","7","5","6","7"
"Evening","02/13/2020","4","8","1","6"
"Evening","02/12/2020","0","8","4","2"
"Evening","02/11/2020","9","1","8","1"
"Evening","02/10/2020","8","7","0","0"
"Evening","02/09/2020","2","8","0","3"
"Evening","02/08/2020","5","0","4","5"
"Evening","02/07/2020","9","4","9","9"
"Evening","02/06/2020","1","9","2","9"
"Evening","02/05/2020","4","2","3","5"
"Evening","02/04/2020","3","9","9","8"
"Evening","02/03/2020","5","2","4","0"
"Evening","02/02/2020","8","1","5","5"
"Evening","02/01/2020","3","0","4","1"
"Evening","01/31/2020","1","8","4","8"
"Evening","01/30/2020","6","7","3","4"
"Evening","01/29/2020","5","3","8","4"
"Evening","01/28/2020","2","8","4","5"
"Evening","01/27/2020","7","7","0","9"
"Evening","01/26/2020","0","5","5","3"
"Evening","01/25/2020","3","1","6","6"
"Evening","01/24/2020","4","4","3","2"
"Evening","01/23/2020","0","2","4","4"
"Evening","01/22/2020","3","6","7","8"
"Evening","01/21/2020","5","7","5","1"
"Evening","01/20/2020","9","7","8","7"
"Evening","01/19/2020","3","7","4","2"
"Evening","01/18/2020","1","6","1","2"
"Evening","01/17/2020","2","1","7","2"
"Evening","01/16/2020","7","8","2","8"
"Evening","01/15/2020","3","4","1","4"
"Evening","01/14/2020","6","3","2","7"
"Evening","01/13/2020","8","5","9","8"
"Evening","01/12/2020","9","1","7","2"
"Evening","01/11/2020","1","6","9","4"
"Evening","01/10/2020","9","6","0","3"
"Evening","01/09/2020","0","3","8","4"
"Evening","01/08/2020","2","6","3","9"
